id,Name,Area,Type,Rating,Out_of_rating,Cuisine,Avg_price,Timmings,Facility,Food_Rating,Service_Rating,Ambience_Rating
106,Tamasha,Lower Parel,"Lounge, Bar ",4.7,5,"Continental, Modern Indian, Italian, Finger Food, Beverages","2,700",12noon - 1am,Full Bar Available  NightlifeIndoor SeatingTable booking recommendedValet Parking AvailableOutdoor SeatingAbove 18 OnlySmoking Area,5,0,0
107,Ceremonial Kitchen & Co,Ghodbunder Road,Casual Dining ,4.5,5,"North Indian, Chinese, Maharashtrian, Seafood","1,000",11:30am - 11:30pm,Home Delivery  Free ParkingIndoor SeatingCatering Available,5,4,4
108,Millennials Eatery & Bar,Fort,"Bar, Casual Dining ",4.6,5,"Continental, American, Italian, Finger Food, Pizza","1,500",11am - 1am,Full Bar Available  Free ParkingNightlifeValet Parking AvailableIndoor SeatingFree WifiResto BarBrunchDesserts and BakesLive Sports ScreeningSports TVLive MusicTable booking recommendedSmoking AreaServes Jain FoodAll Day Breakfast,5,4,4
109,Pot Pourri,Chembur,"Bar, Casual Dining ",4.7,5,"Italian, Continental, Mexican, North Indian","2,000",12noon - 1:30am,Home Delivery   Full Bar Available  Live Sports ScreeningServes CocktailsTable booking recommendedWifiBuffetNightlifeIndoor SeatingSmoking Area,5,4,4
110,Pot Pourri,Vashi,"Casual Dining, Bar ",4.6,5,"Italian, Continental, Mexican","1,600",12noon - 12midnight,Home Delivery   Full Bar Available  Mall ParkingLive Sports ScreeningIndoor SeatingWifiBuffetTable Reservation Not Required,5,4,4
111,HOP : House of Party,"Andheri Lokhandwala, Andheri West","Bar, Casual Dining ",4.5,5,"Finger Food, Continental, Asian, Bar Food, Desserts, Pizza","2,000",5:30pm - 1:30am,Full Bar Available  Free WifiAvailable for FunctionsSmoking AreaGroup MealDance FloorLive Sports ScreeningOutdoor SeatingIndoor SeatingPrivate Dining Area AvailableWifiDesserts and BakesLive EntertainmentNightlifeGastro PubLive MusicServes Cocktails,5,4,0
112,Mansion Bar & Lounge,Mulund West,Lounge ,4.6,5,"North Indian, Italian, Mexican, Chinese","1,700",12noon - 1am,Full Bar Available  Valet Parking AvailableOutdoor SeatingServes CocktailsLGBTQIA FriendlySmoking AreaLive Sports ScreeningNightlifeIndoor SeatingTable booking recommendedResto BarDance Floor,5,0,0
113,Piku Chiku,Parel,Quick Bites ,4.6,5,"Fast Food, North Indian",500,2pm - 11:30pm,Home Delivery   Vegetarian Only  No Alcohol AvailableIndoor SeatingServes Jain Food,5,0,4
114,ARK 2.0 - Courtyard By Marriott,Chakala,"Bar, Fine Dining ",4.7,5,"Finger Food, North Indian, European, Asian, Continental","2,500",4pm - 1:30am,Wheelchair Accessible   Full Bar Available  Live EntertainmentValet Parking AvailableServes CocktailsDance FloorNightlifeIndoor Seating4/5 StarTable booking recommendedLGBTQIA FriendlySmoking AreaWifi,5,0,0
115,Lal Tadka,Kandivali West,Casual Dining ,4.6,5,"North Indian, Asian, Italian, Beverages","1,100",12noon - 12:30am,Home Delivery  Indoor SeatingTable booking recommended,5,0,4
116,Barbeque Nation,Mulund West,Casual Dining ,4.5,5,"North Indian, Kebab, BBQ, Chinese","1,300","12noon - 3pm, 7pm - 11pm",Mall ParkingIndoor SeatingBuffetTable booking recommended,5,0,0
117,Lion Heart,Byculla,Lounge ,4.5,5,"North Indian, Chinese, Italian, Finger Food, Asian, Bar Food, American","2,000","12midnight - 1:30am, 12noon - 12midnight",Home Delivery   Full Bar Available  WifiLGBTQIA FriendlyBoard GamesLive Sports ScreeningValet Parking AvailableIndoor SeatingTable booking recommendedSmoking AreaServes Jain FoodLive EntertainmentNightlifeRestricted Entry,5,4,4
118,The Harbour Bay - SeaFood Kitchen & Bar,"Reclamation, Bandra West","Casual Dining, Bar ",4.5,5,"Seafood, European, Asian, North Indian, Lebanese, Salad","2,400",12noon - 1am,Serves Non Veg   Full Bar Available  Live Sports ScreeningValet Parking AvailableLive MusicTable booking recommendedNightlifeIndoor Seating,5,0,0
119,Khyber,Fort,Fine Dining ,4.5,5,"North Indian, Seafood, Mughlai","2,600","12:30pm - 3:30pm, 7:30pm - 11:30pm",Home Delivery   Full Bar Available  Valet Parking AvailableLive MusicTable booking recommendedWifiDesserts and BakesIndoor Seating,5,4,4
120,Kratos,"Oshiwara, Andheri West",                                                Takeaway                                            ,4.5,5,"Fast Food, Burger, Chinese",400,12noon - 5am,Takeaway Only,5,,
121,Pop Tate's,Ghodbunder Road,"Casual Dining, Bar ",4.5,5,"Italian, Continental, Chinese","1,600",11:30am - 1am,Full Bar Available  LGBTQIA FriendlyIndoor SeatingBuffet,0,0,0
122,Same Place Same Time,"Andheri Lokhandwala, Andheri West",Casual Dining ,4.6,5,"Italian, Mexican, American, Continental","1,500",12noon - 1:30am,Home Delivery   Serves Non Veg   Full Bar Available  Valet Parking AvailableLive MusicTable booking recommendedWifiBrunchIndoor SeatingSmoking Area,5,0,0
123,Woodz Pizza,"Andheri Lokhandwala, Andheri West","                                                Takeaway, Delivery                                            ",4.5,5,"Pizza, Italian",500,12:30am - 3am,Breakfast   Delivery Only,5,,
124,House of Hoppers,Vile Parle East,Quick Bites ,4.5,5,South Indian,300,11am - 10pm,Vegetarian Only  Indoor Seating,0,0,4
125,Taftoon Bar & Kitchen,Bandra Kurla Complex,"Fine Dining, Bar ",4.7,5,"North Indian, Lucknowi, Bengali, Kashmiri, Bihari","2,500",12noon - 12:30am,Home Delivery   Full Bar Available  Live Sports ScreeningServes CocktailsTable booking recommendedWifiValet Parking AvailableIndoor SeatingAbove 18 OnlyPrivate Dining Area Available,5,4,4
126,Arbab,"Linking Road, Bandra West",Casual Dining ,4.6,5,"Lebanese, Mediterranean, Turkish","1,600",11am - 4am,Home Delivery  Outdoor SeatingKid FriendlySmoking Area,5,4,
127,London Taxi,Lower Parel,"Casual Dining, Bar ",4.7,5,"Modern Indian, Asian, British","1,800",12noon - 1:30am,Home Delivery   Serves Non Veg   Full Bar Available  Smoking AreaServes Jain FoodLunch MenuNightlifeIndoor SeatingFree WifiWifiVegan OptionsBrunchLive Sports ScreeningValet Parking AvailableGastro PubTable reservation requiredResto BarPrivate Dining Area Available,5,4,4
128,Goa Portuguesa,Mahim,"Casual Dining, Bar ",4.5,5,"Seafood, South Indian, Maharashtrian, Goan, North Indian","2,100","12noon - 3:30pm, 7pm - 12:30am",Home Delivery   Wheelchair Accessible   Full Bar Available  Live Sports ScreeningLive MusicSmoking AreaValet Parking AvailableOutdoor SeatingTable booking recommended,5,4,0
129,The Finch,Powai,"Microbrewery, Casual Dining ",4.7,5,"North Indian, Continental, Italian, Rolls, Chinese","2,500",12noon - 1:30am,Home Delivery   Wheelchair Accessible   Full Bar Available  NightlifeCraft BeerIndoor SeatingServes CocktailsLGBTQIA FriendlySmoking AreaWifiDance FloorLive EntertainmentLive Sports ScreeningValet Parking AvailableLive MusicTable booking recommendedServes Jain FoodBrunchFree Parking,5,0,0
130,The Fusion Kitchen,"Andheri Lokhandwala, Andheri West",Casual Dining ,4.5,5,"Chinese, Continental, European, North Indian, Italian","1,900",12:30pm - 12:30am,Home Delivery   Serves Non Veg   Full Bar Available  Live Sports ScreeningTable booking recommendedValet Parking AvailableIndoor SeatingKid FriendlyWifi,5,4,0
131,Box It Up,Sakinaka,                                                Takeaway                                            ,4.6,5,"Fast Food, Chinese, North Indian",350,"11am - 3:30pm, 7pm - 12midnight",Takeaway Only   Seating Not Available,5,,
132,Boulevard - The Orchid,Vile Parle East,"Casual Dining, Bar ",4.7,5,"North Indian, Seafood, American","2,600",11am - 11am,Breakfast   Home Delivery   Wheelchair Accessible   Full Bar Available  4/5 StarWifiBuffetIndoor SeatingTable booking recommendedBrunch,5,4,4
133,Imperial China - Hilton Mumbai International Airport,Chakala,Fine Dining ,4.5,5,Chinese,"3,500",7pm - 11:30pm,Wheelchair Accessible     Serves Halal      Full Bar Available  Free ParkingTable booking recommendedLuxury DiningWifiValet Parking AvailableIndoor Seating4/5 StarServes Jain Food,5,0,
134,Sumthing Fishy,Matunga West,Quick Bites ,4.5,5,"Chinese, Seafood",400,"11:30am - 3:30pm, 6:30pm - 11pm",Home Delivery  Indoor Seating,5,4,
135,Soy Street,Vashi,Casual Dining ,4.6,5,"Asian, Chinese","1,100",12noon - 12midnight,Home Delivery   Wheelchair Accessible   Full Bar Available  Mall ParkingIndoor SeatingWifiBuffetSmoking AreaBrunch,5,4,4
136,Rice Express,Santacruz East,                                                Delivery                                            ,4.5,5,"North Indian, Chinese, Continental, Mexican",600,11am - 11pm,Delivery Only   Vegetarian Only,5,,
137,Tripper Cold Cafe,"Andheri Lokhandwala, Andheri West",Café ,4.7,5,Cafe,300,11am - 2am,Indoor SeatingFree WifiDesserts and Bakes,5,4,
138,Talli Turmeric,Worli,"Casual Dining, Bar ",4.7,5,"North Indian, South Indian, Mughlai","1,600",12noon - 1am,Home Delivery   Full Bar Available  Mall ParkingNightlifeIndoor SeatingGroup MealKid FriendlyServes Jain Food,5,4,4
139,Curry And Combos Twist,"Versova, Andheri West",Quick Bites ,4.5,5,"North Indian, Chinese, Fast Food, Pizza, Panini, Sandwich, South Indian",550,9:30am - 12midnight,Home Delivery   Seating Not Available,5,,
140,Take-Away-Express,Lower Parel,"                                                Takeaway, Delivery                                            ",4.5,5,"North Indian, Chinese, Hyderabadi",600,11:30am - 11:30pm,Home Delivery,5,,
141,Crafters Tap House,Powai,"Microbrewery, Casual Dining ",4.5,5,"Bar Food, Italian, Continental, Mughlai","1,800",12noon - 1:30am,Full Bar Available  Mall ParkingLive EntertainmentTable booking recommendedWifiCraft BeerIndoor SeatingLGBTQIA FriendlySmoking Area,5,4,0
142,Butter Chickenwala,Powai,Quick Bites ,4.6,5,"North Indian, Chinese, Biryani","1,000","11:30am - 3:30pm, 7pm - 12:30am",Breakfast   Home Delivery  No Alcohol AvailableIndoor Seating,5,,
143,Kulcha Jara Hatke,Malad West,Casual Dining ,4.5,5,"Street Food, North Indian",700,"12noon - 4pm, 7pm - 1:30am",Home Delivery  Indoor Seating,0,0,0
144,Kaala Chashma,"Panch Pakhadi, Thane West","Casual Dining, Bar ",4.6,5,"North Indian, Asian, Italian, Desserts","1,600","11:30am - 3:30pm, 6:30pm - 12midnight",Full Bar Available  Free ParkingLive Sports ScreeningIndoor SeatingDisabled FriendlySmoking AreaLive EntertainmentValet Parking AvailableLive MusicTable booking for GroupsWifi,5,4,4
145,Hammer & Song,Cuffe Parade,"Bar, Casual Dining ",4.5,5,"Asian, Continental","2,000",12noon - 1:30am,Beer  Live EntertainmentNightlifeIndoor SeatingTable booking recommendedLGBTQIA FriendlySmoking AreaFree ParkingLive Sports ScreeningGastro PubLive MusicServes CocktailsWifiBrunch,5,0,4
146,Rocky Star Cocktail Bar,Lower Parel,Cocktail Bar ,4.9,5,"European, Mediterranean","2,600",6pm - 1am,Full Bar Available  Valet Parking AvailableIndoor SeatingTable reservation requiredDisabled FriendlyPrivate Dining Area AvailableNightlifeSmoking Area,5,0,0
147,FoodPost,Chakala,                                                Delivery                                            ,4.5,5,"North Indian, Chinese",600,11am - 12midnight,Delivery Only,0,,
148,Raasta,Khar,"Casual Dining, Bar ",4.5,5,"Continental, Seafood, Italian, Finger Food","1,800",12noon - 1am,Home Delivery   Serves Non Veg   Full Bar Available  RooftopTable booking recommendedKeto OptionsKaraokeLive Sports ScreeningValet Parking AvailableOutdoor SeatingIndoor SeatingSmoking AreaBoard GamesLive EntertainmentNightlife,5,4,0
149,Regency Restaurant & Bar,Marol,Casual Dining ,4.5,5,"North Indian, Mughlai, Chinese","1,200","12:30pm - 3:30pm, 7:30pm - 11:15pm",Home Delivery   Full Bar Available  Indoor Seating,0,0,
150,South of Vindhyas - The Orchid,Vile Parle East,Fine Dining ,4.5,5,"Andhra, Kerala, South Indian, Chettinad","2,500","12noon - 3pm, 7pm - 12midnight",Home Delivery   Full Bar Available  4/5 StarTable booking recommendedBuffetIndoor Seating,5,4,4
151,Feb-30,"Oshiwara, Andheri West",Lounge ,4.8,5,"Chinese, Lebanese, Mexican, North Indian, Italian","2,000",6pm - 1:30am,Full Bar Available  NightlifeOutdoor SeatingTable booking recommendedIndoor Seating,5,4,0
152,Konkani Haus Restaurant & Bar,"Panch Pakhadi, Thane West","Casual Dining, Bar ",4.7,5,"North Indian, Maharashtrian, Mughlai, Seafood","1,100",11:30am - 12:30am,Home Delivery   Serves Alcohol  Indoor Seating,5,0,0
153,The Bombay Cafe,Grant Road,"Dessert Parlor, Quick Bites ",4.5,5,"Desserts, South Indian",400,11am - 12midnight,Breakfast   Home Delivery   Vegetarian Only  Indoor SeatingDesserts and Bakes,5,0,0
154,Gulati's,Mahakali,"Sweet Shop, Quick Bites ",4.4,5,"Mithai, Street Food",200,8:30am - 9:30pm,Breakfast   Home Delivery   Vegetarian Only  Indoor SeatingDesserts and Bakes,5,,
155,Butter Chicken Factory,Malad West,Food Court ,4.5,5,"North Indian, Kebab, Biryani",800,"11am - 11pm, 12midnight - 1am",Home Delivery  Mall ParkingIndoor Seating,5,,
156,The Wadapav Cafe- Elite,Powai,Quick Bites ,4.6,5,"Street Food, Fast Food",550,10am - 10pm,Breakfast   Vegetarian Only  Serves Jain FoodFree ParkingIndoor Seating,5,4,
157,Drinkery 51,Bandra Kurla Complex,"Casual Dining, Bar ",4.7,5,"North Indian, Asian, Continental, Seafood, Burger, Pizza","2,000",12noon - 1:30am,Home Delivery   Wheelchair Accessible   Full Bar Available  Live Sports ScreeningIndoor SeatingTable booking recommendedAvailable for FunctionsSmoking AreaGroup MealValet Parking AvailableLive MusicRestricted EntryPrivate Dining Area Available,5,4,0
158,Kebabs And Curries Company,Kurla,Casual Dining ,4.5,5,"North Indian, Chinese, Mughlai, Beverages","1,300",12noon - 12midnight,Home Delivery     Serves Halal     Valet Parking AvailableFree WifiBulk Orders AcceptedVegan OptionsIndoor Seating,5,0,0
159,Big Bang Cuurry,4 Bungalows,"                                                Takeaway, Delivery                                            ",4.6,5,"North Indian, Rolls, Biryani",500,"12noon - 3:30pm, 7pm - 2am",Home Delivery   Seating Not Available,5,0,
160,Aromas Cafe & Bistro,"Oshiwara, Andheri West","Casual Dining, Bar ",4.5,5,"Cafe, American, Mexican, Italian","1,000",7:30am - 1am,Breakfast     Serves Halal      Full Bar Available  Live Sports ScreeningIndoor SeatingTable booking recommendedKid FriendlyWifiValet Parking AvailableOutdoor SeatingFree Wifi,5,4,4
161,Craftbar,Bandra East,"Bar, Casual Dining ",4.6,5,"Continental, Mediterranean, Modern Indian, Mexican","2,000",12:30pm - 1:30am,Full Bar Available  Valet Parking AvailableIndoor SeatingTable booking recommendedLGBTQIA FriendlySmoking AreaNightlifeAbove 18 OnlyBrunchGroup Meal,5,0,0
162,Royale Masterchef Finedine and Bar,Dahisar West,Casual Dining ,4.6,5,"North Indian, Asian, Continental, Lebanese, Salad","1,400","12noon - 3pm, 7pm - 12midnight",Home Delivery   Full Bar Available  Smoking AreaValet Parking AvailableOutdoor SeatingLive Sports Screening,5,4,4
163,Oye Teri - The Kulcha Kulture,Malad West,Quick Bites ,4.6,5,North Indian,500,"12noon - 4:30pm, 7pm - 1:30am",Home Delivery   Vegetarian Only  Indoor SeatingWifiServes Jain Food,0,0,
164,Curry Culture,Powai,"                                                Takeaway, Delivery                                            ",4.7,5,"North Indian, Biryani, Chinese, Kebab, Mughlai, Asian",800,"12noon - 3:30pm, 7pm - 12:30am",Home Delivery   Seating Not Available  No Alcohol AvailableDrive ThruCard Upon DeliveryCatering AvailableDrive in,5,0,
165,Curry Culture,Malad West,Quick Bites ,4.8,5,"North Indian, Biryani, Chinese, Kebab, Mughlai, Asian",800,"12noon - 3:30pm, 7pm - 12:30am",Home Delivery  Outdoor SeatingIndoor Seating,5,0,
166,Huiyang,"Hill Road, Bandra West",Quick Bites ,4.5,5,"Tibetan, Chinese",800,11:30am - 1am,Outdoor Seating,5,4,0
167,Huiyang,Chakala,Quick Bites ,4.5,5,"Tibetan, Chinese",800,11:30am - 11:30pm,Outdoor Seating,5,,
168,Peco Peco,Powai,"                                                Takeaway, Delivery                                            ",4.7,5,"Chinese, Seafood, Asian",700,"12noon - 3:30pm, 7pm - 12:30am",Home Delivery   Seating Not Available  No Alcohol AvailableDrive ThruCard Upon DeliveryCatering AvailableDrive inKid Friendly,5,0,
169,Peco Peco,Malad West,"                                                Takeaway, Delivery                                            ",4.9,5,"Chinese, Seafood, Asian",700,"12noon - 3:30pm, 7pm - 12:30am",Home Delivery,5,0,
170,China Suburb Nxt,4 Bungalows,Quick Bites ,4.5,5,"Chinese, Momos",350,11:40am - 4am,Home Delivery  Indoor Seating,0,,
171,Dragonfly Experience,Marol,"Bar, Casual Dining ",4.9,5,"Asian, European","2,000",7pm - 1:30am,Wheelchair Accessible   Full Bar Available  NightlifeIndoor SeatingTable booking recommendedLGBTQIA FriendlySmoking Area,5,0,0
172,MH04 The Drunk Yard,"Manpada, Thane West",Bar ,4.5,5,"Finger Food, North Indian, Italian, Mexican, Continental","1,500",12noon - 1am,Full Bar Available  Smoking AreaBrunchLive Sports ScreeningLive MusicFree ParkingNightlifeGastro PubIndoor SeatingAbove 18 Only,5,0,0
173,Rodeo Drive - Peninsula Redpine,Marol,"Bar, Casual Dining ",4.5,5,"American, Mexican, Italian, Asian","2,000",6pm - 3:30am,Full Bar Available  Free ParkingLive Sports ScreeningSports TVOutdoor SeatingIndoor SeatingAbove 18 OnlyLGBTQIA FriendlySmoking AreaDance FloorLive EntertainmentNightlifeValet Parking AvailableGastro PubLive MusicTable reservation required,5,0,0
174,Torta Bella,Ghatkopar East,Dessert Parlor ,4.6,5,"Bakery, Desserts, French",350,9am - 10pm,Indoor SeatingDesserts and Bakes,5,,
